Aggregate Date;municipio;region;connection_type;provider;test_count;performance_sample_count;mean_download_speed_mbps;download_speed;mean_upload_mbps;upload_speed;latency;jitter;mes;año;periodo;sample_count;mean_download_mbps;mean_latency_ms;mean_jitter
2022-07-01;GUACHUCAL;Narino;All Fixed;All Providers Combined;99;19.0;37.747;13.109;62.237;11.991;37.0;25.0;7;2022;2022-07;;;;
2022-08-01;SANDONA;Narino;All Fixed;All Providers Combined;1319;543.0;90.985;44.542;73.045;38.006;31.0;8.0;8;2022;2022-08;;;;
2022-10-01;LITORAL DEL BAJO SAN JUAN;Choco;All Fixed;All Providers Combined;127;57.0;98.324;67.577;59.28;24.908;20.0;6.0;10;2022;2022-10;;;;
2022-05-01;SAN LUIS;Antioquia;All Fixed;All Providers Combined;449;160.0;105.464;45.423;66.6;27.697;17.0;6.0;5;2022;2022-05;;;;
2022-07-01;LOS ROBLES LA PAZ;Cesar;All Fixed;All Providers Combined;104;32.0;40.445;45.072;40.712;49.046;18.0;2.0;7;2022;2022-07;;;;
2022-08-01;PALMAR DE VARELA;Atlantico;All Fixed;All Providers Combined;67;19.0;14.558;8.686;9.056;4.956;47.0;62.0;8;2022;2022-08;;;;
2022-11-01;BARRANQUILLA;Atlantico;All Fixed;All Providers Combined;58696;18125.0;122.506;88.821;94.389;32.638;9.0;5.0;11;2022;2022-11;;;;
2022-02-01;SANTA BARBARA;Santander Department;All Fixed;All Providers Combined;230;28.0;62.207;11.916;78.632;14.303;18.0;9.0;2;2022;2022-02;;;;
2022-03-01;SOPO;Cundinamarca;All Fixed;All Providers Combined;1398;538.0;85.919;38.216;72.214;18.603;11.0;7.0;3;2022;2022-03;;;;
2022-07-01;SAN CAYETANO;Cundinamarca;All Fixed;All Providers Combined;207;76.0;86.628;66.628;44.589;31.879;7.0;8.0;7;2022;2022-07;;;;
2022-11-01;CIENAGA DE ORO;Cordoba;All Fixed;All Providers Combined;39;18.0;21.182;6.919;5.207;0.754;37.0;49.0;11;2022;2022-11;;;;
2022-11-01;CERRO SAN ANTONIO;Magdalena;All Fixed;All Providers Combined;1204;485.0;11.892;7.106;3.488;2.68;54.0;30.0;11;2022;2022-11;;;;
2022-04-01;OBANDO;Valle del Cauca;All Fixed;All Providers Combined;55;20.0;10.151;5.359;8.748;2.43;41.0;37.0;4;2022;2022-04;;;;
2022-01-01;UTICA;Cundinamarca;All Fixed;All Providers Combined;102;31.0;75.711;45.469;59.88;25.507;10.0;2.0;1;2022;2022-01;;;;
2022-10-01;PLANADAS;Tolima;All Fixed;All Providers Combined;130;27.0;11.019;9.258;9.659;5.137;31.0;27.0;10;2022;2022-10;;;;
2022-04-01;LIBANO;Tolima;All Fixed;All Providers Combined;486;91.0;40.028;9.288;39.5;7.424;22.0;17.0;4;2022;2022-04;;;;
2022-08-01;PATIA;Cauca Department;All Fixed;All Providers Combined;590;84.0;15.023;13.049;17.786;17.252;21.0;22.0;8;2022;2022-08;;;;
2022-02-01;FLORIDA;Valle del Cauca;All Fixed;All Providers Combined;1275;205.0;43.783;24.438;18.994;13.148;23.0;13.0;2;2022;2022-02;;;;
2022-03-01;SAN ANDRES DE TUMACO;Narino;All Fixed;All Providers Combined;927;90.0;14.005;6.994;11.813;3.913;44.0;27.0;3;2022;2022-03;;;;
