Provider;Location;Device;Aggregate Date;Test Count;Sample Count;Platform;Technology Type;Metric Type;User Count;Minimum Latency;Multi-Server Latency;Multi-Server Jitter;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;oct-21;146777;44412;all;N/A;median;44412;19;;;52769;11049;52.77;11.05
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;nov-21;13687;4181;all;N/A;median;4181;22;;;52197;10772;52.20;10.77
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;nov-21;230329;73856;all;N/A;median;73856;10;;;58674;11649;58.67;11.65
All Providers Combined;Arauca, Arauca, Arauca, Colombia;;nov-21;1054;353;all;N/A;median;353;32;;;8626;4498;8.63;4.50
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;nov-21;70072;21121;all;N/A;median;21121;16;;;55520;13162;55.52;13.16
All Providers Combined;Bogotá, Bogota, Colombia;;nov-21;972842;289732;all;N/A;median;289732;9;;;70073;18667;70.07;18.67
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;nov-21;25761;7952;all;N/A;median;7952;14;;;55516;11473;55.52;11.47
All Providers Combined;Tunja, Tunja, Boyacá, Colombia;;nov-21;13883;4039;all;N/A;median;4039;15;;;47344;10916;47.34;10.92
All Providers Combined;Manizales, Manizales, Caldas, Colombia;;nov-21;29518;9142;all;N/A;median;9142;27;;;44605;10230;44.61;10.23
All Providers Combined;Florencia, Florencia, Caquetá, Colombia;;nov-21;6501;1647;all;N/A;median;1647;23;;;38019;13942;38.02;13.94
All Providers Combined;Yopal, Yopal, Casanare, Colombia;;nov-21;6274;1789;all;N/A;median;1789;17;;;45160;10761;45.16;10.76
All Providers Combined;Popayán, Popayán, Cauca, Colombia;;nov-21;17779;5191;all;N/A;median;5191;21;;;40745;10667;40.75;10.67
All Providers Combined;Valledupar, Valledupar, Cesar, Colombia;;nov-21;14444;4588;all;N/A;median;4588;29;;;51701;10902;51.70;10.90
All Providers Combined;Quibdo, Quibdó, Chocó, Colombia;;nov-21;397;125;all;N/A;median;125;43;;;7652;2505;7.65;2.51
All Providers Combined;Montería, Montería, Córdoba, Colombia;;nov-21;15851;4351;all;N/A;median;4351;21;;;42184;10787;42.18;10.79
All Providers Combined;San José Del Guaviare, San José Del Guaviare, Guaviare, Colombia;;nov-21;858;224;all;N/A;median;224;17;;;10572;8931;10.57;8.93
All Providers Combined;Neiva, Neiva, Huila, Colombia;;nov-21;17261;5297;all;N/A;median;5297;21;;;36495;10908;36.50;10.91
All Providers Combined;Riohacha, Riohacha, La Guajira, Colombia;;nov-21;3629;1245;all;N/A;median;1245;35;;;41160;11011;41.16;11.01
All Providers Combined;Santa Marta, Santa Marta, Magdalena, Colombia;;nov-21;16622;5092;all;N/A;median;5092;24;;;44492;10880;44.49;10.88
All Providers Combined;Villavicencio, Villavicencio, Meta, Colombia;;nov-21;27450;8180;all;N/A;median;8180;12;;;54235;12753;54.24;12.75
All Providers Combined;Pasto, Pasto, Narino, Colombia;;nov-21;14306;4602;all;N/A;median;4602;24;;;42889;10796;42.89;10.80
All Providers Combined;Cúcuta, Cucuta, North Santander, Colombia;;nov-21;31422;9453;all;N/A;median;9453;26;;;45548;11010;45.55;11.01
All Providers Combined;Mocoa, Mocoa, Putumayo, Colombia;;nov-21;86;50;all;N/A;median;50;27;;;15612;7492;15.61;7.49
All Providers Combined;Pereira, Pereira, Risaralda, Colombia;;nov-21;28606;8418;all;N/A;median;8418;22;;;47353;10921;47.35;10.92
All Providers Combined;San Andrés, San Andrés, San Andrés y Providencia, Colombia;;nov-21;234;72;all;N/A;median;72;15;;;3500;2753;3.50;2.75
All Providers Combined;Bucaramanga, Bucaramanga, Santander Department, Colombia;;nov-21;74870;22349;all;N/A;median;22349;27;;;63068;16047;63.07;16.05
All Providers Combined;Sincelejo, Sincelejo, Sucre, Colombia;;nov-21;5328;1812;all;N/A;median;1812;17;;;43255;10125;43.26;10.13
All Providers Combined;Ibagué, Ibague, Tolima, Colombia;;nov-21;24490;7096;all;N/A;median;7096;14;;;49472;13380;49.47;13.38
All Providers Combined;Cali, Cali, Valle del Cauca, Colombia;;nov-21;151001;46524;all;N/A;median;46524;19;;;56934;15177;56.93;15.18
All Providers Combined;Armenia, Armenia, Quindio, Colombia;;Dec 2021;12372;3963;all;N/A;median;3963;23;;;50142;10883;50.14;10.88
All Providers Combined;Medellín, Medellin, Antioquia, Colombia;;Dec 2021;196341;65309;all;N/A;median;65309;10;;;62830;13109;62.83;13.11
All Providers Combined;Arauca, Arauca, Arauca, Colombia;;Dec 2021;1167;382;all;N/A;median;382;28;;;9327;4540;9.33;4.54
All Providers Combined;Barranquilla, Barranquilla, Atlantico, Colombia;;Dec 2021;64640;20365;all;N/A;median;20365;16;;;51858;12195;51.86;12.20
All Providers Combined;Bogotá, Bogota, Colombia;;Dec 2021;832064;260524;all;N/A;median;260524;9;;;73812;21002;73.81;21.00
All Providers Combined;Cartagena, Cartagena, Bolívar, Colombia;;Dec 2021;23957;7286;all;N/A;median;7286;13;;;54804;12391;54.80;12.39
