Provider;Location;Aggregate Date;Test Count;Sample Count;Metric Type;User Count;Minimum Latency;Download Speed;Upload Speed;Download Speed Mbps;Upload Speed Mbps
All Providers Combined;INIRIDA;2022-04;4.0;1.0;median;1.0;9.0;44487.0;24607.0;44.49;24.61
All Providers Combined;SAN JOSE DEL GUAVIARE;2022-04;618.0;165.0;median;165.0;16.0;8842.0;9719.0;8.84;9.72
All Providers Combined;NEIVA;2022-04;19960.0;5290.0;median;5290.0;23.0;45581.0;18937.0;45.58;18.94
All Providers Combined;RIOHACHA;2022-04;3587.0;1127.0;median;1127.0;34.0;52510.0;21397.0;52.51;21.4
All Providers Combined;SANTA MARTA;2022-04;14062.0;4306.0;median;4306.0;21.0;56277.0;20514.0;56.28;20.51
All Providers Combined;VILLAVICENCIO;2022-04;27495.0;7995.0;median;7995.0;12.0;72210.0;25419.0;72.21;25.42
All Providers Combined;PASTO;2022-04;18579.0;4833.0;median;4833.0;25.0;52386.0;17708.0;52.39;17.71
All Providers Combined;CUCUTA;2022-04;27326.0;7870.0;median;7870.0;22.0;57039.0;21220.0;57.04;21.22
All Providers Combined;MOCOA;2022-04;258.0;61.0;median;61.0;30.0;20362.0;21009.0;20.36;21.01
All Providers Combined;PEREIRA;2022-04;25528.0;6843.0;median;6843.0;23.0;56369.0;19100.0;56.37;19.1
All Providers Combined;SAN ANDRES;2022-04;1353.0;278.0;median;278.0;91.0;9345.0;5979.0;9.35;5.98
All Providers Combined;BUCARAMANGA;2022-04;61279.0;18555.0;median;18555.0;29.0;66802.0;22090.0;66.8;22.09
All Providers Combined;SINCELEJO;2022-04;4836.0;1402.0;median;1402.0;16.0;54331.0;16546.0;54.33;16.55
All Providers Combined;IBAGUE;2022-04;31583.0;8378.0;median;8378.0;15.0;61825.0;29802.0;61.83;29.8
All Providers Combined;CALI;2022-04;148169.0;41789.0;median;41789.0;19.0;70590.0;21749.0;70.59;21.75
